season,team,sos
2008,IPFW ,7.3
2008,Cumberland ,7.2
2008,St Bonavent ,7.2
2008,TX Christian ,7.2
2008,Buffalo ,7.1
2008,CS Fullerton ,7.1
2008,Cal St Nrdge ,7.0
2008,Arkansas Tech ,7.0
2008, ,7.0
2008,Texas Wesleyan ,7.0
2008,GA Southern ,7.0
2008,Auburn-Montgomery ,6.9
2008,UC Irvine ,6.9
2008,Col Charlestn ,6.8
2008,Pepperdine ,6.7
2008,Chattanooga ,6.7
2008,App State ,6.7
2008,Portland St ,6.7
2008,Utah State ,6.6
2008,North Greenville ,6.6
2008,St. Mary's (MN) ,6.6
2008,E Michigan ,6.5
2008,Marist ,6.5
2008,UCSB ,6.5
2008,Siena ,6.5
2008,Presbyterian ,6.3
2008,S Utah ,6.3
2008,NC-Wesleyan ,6.3
2008, ,6.3
2008,Wartburg ,6.2
2008,Pacific ,6.2
2008,Boise State ,6.2
2008,Union College - NY ,6.1
2008,Fresno St ,6.1
2008,Panhandle State ,6.0
2008,UMKC ,6.0
2008,Centenary ,5.9
2008,St. Gregorys ,5.8
2008,Delaware ,5.8
2008,Kentucky Christian ,5.8
2008,Niagara ,5.8
2008,Waldorf ,5.8
2008,Nicholls St ,5.7
2008,LA Lafayette ,5.7
2008,NC-Wilmgton ,5.7
2008,San Fransco ,5.7
2008,Huston-Tillotson ,5.7
2008,Alaska - Anchorage ,5.6
2008,San Jose St ,5.6
2008,Middle Tenn ,5.6
2008,North Texas ,5.5
2008,Cal Poly ,5.5
2008,Denver ,5.5
2008,Elon ,5.5
2008,E Carolina ,5.5
2008,TX A&M-CC ,5.4
2008, ,5.4
2008,Chicago St ,5.4
2008,Ohio Valley ,5.3
2008,E Tenn St ,5.2
2008,N Arizona ,5.2
2008,Methodist ,5.2
2008,Central State (OH) ,5.1
2008,Menlo College ,5.1
2008,Emory ,5.1
2008, ,5.1
2008,Fairfield ,5.1
2008,Ste F Austin ,5.1
2008,W Carolina ,5.1
2008,Coker ,5.1
2008,Rider ,5.0
2008,Sam Hous St ,5.0
2008,Portland ,5.0
2008,New Orleans ,5.0
2008,Holy Cross ,5.0
2008,Wm & Mary ,5.0
2008,Ecclesia College ,5.0
2008,Montana ,5.0
2008,Missouri Valley ,5.0
2008,LA Monroe ,5.0
2008, ,5.0
2008,Hofstra ,5.0
2008,Lamar ,4.9
2008,E Washingtn ,4.9
2008,Lyon ,4.9
2008,S Dakota St ,4.9
2008,W Illinois ,4.9
2008,Hawaii ,4.9
2008,Weber State ,4.9
2008,Brown ,4.8
2008,Drexel ,4.8
2008,Thomas More ,4.8
2008,Susquehanna ,4.7
2008,Furman ,4.7
2008,Georgia St ,4.7
2008,Florida Intl ,4.7
2008,Wofford ,4.7
2008,Loyola Mymt ,4.6
2008,Maryland BC ,4.6
2008,Idaho State ,4.6
2008,Loyola-MD ,4.6
2008,Bucknell ,4.6
2008,Towson ,4.5
2008,McMurry ,4.5
2008,NC-Asheville ,4.5
2008,Mary ,4.5
2008,Manchester ,4.5
2008,James Mad ,4.5
2008,Troy ,4.4
2008,Cameron ,4.4
2008,Belmont ,4.4
2008,High Point ,4.3
2008,Montreat ,4.3
2008,Austin Peay ,4.3
2008,Montana St ,4.2
2008,Brewton Parker College ,4.2
2008,Liberty ,4.2
2008,American ,4.1
2008,Florida Tech ,4.1
2008,N Colorado ,4.1
2008,Arkansas St ,4.1
2008,Bluefield College ,4.1
2008,Iona ,4.1
2008,Geneva ,4.1
2008,Fla Atlantic ,4.1
2008,SE Louisiana ,4.0
2008,Louisiana College ,4.0
2008,Gard-Webb ,4.0
2008,Idaho ,3.9
2008,Radford ,3.9
2008,McNeese St ,3.8
2008,Brevard ,3.8
2008,S Methodist ,3.7
2008,Lg Beach St ,3.7
2008,Boston U ,3.7
2008,Alice Lloyd ,3.7
2008,Cornell ,3.6
2008,Lafayette ,3.6
2008,Vermont ,3.6
2008,UC Riverside ,3.6
2008,Paul Quinn ,3.6
2008,TX-Arlington ,3.5
2008,Reinhardt ,3.5
2008,Canisius ,3.5
2008,TN State ,3.5
2008,Polytechnic ,3.4
2008,NW State ,3.4
2008,AR Lit Rock ,3.3
2008,Albany ,3.3
2008,SC Upstate ,3.2
2008,St Peters ,3.2
2008,Tennessee Wesleyan ,3.1
